sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:K22	1	power	2.06176	64.1256	4.53551	0.952573	6.53649	0.0332656	2.43936	-0.19802	-0.16,0.22	0.29,4.59	-7.32,6.92	0.965259	0.956574	0.592108	111.139	5.83666	5	7.9419	11.4063	1.68454	10.7285	78.6475	897.076	31344.3
LJP009_A375_24H_X1_B20:K23	1	power	1.99016	63.3217	4.72	0.96343	7.04654	0.103513	1.99845	-1.65375	-0.45,0.66	0.07,3.93	-10.94,7.64	0.969943	0.962429	0.550747	129.083	6.08824	1	8.13469	9.75306	1.64697	10.3999	86.5345	843.976	23777.1
LJP009_A375_24H_X1_B20:K24	1	power	1.7444	60.1759	5.136	0.978685	8.10429	0.0846572	2.02728	-0.287307	-0.21,0.38	0.77,3.29	-5.38,4.80	0.985857	0.982321	0.377794	278.823	7.39782	1	8.26254	8.82639	1.76849	16.9099	106.877	943.342	14626.4
LJP009_A375_24H_X1_B20:L01	1	power	2.00649	63.5092	4.57935	0.973683	7.69145	0.0734818	2.12922	-1.05995	-0.25,0.40	0.52,3.74	-7.90,5.78	0.981061	0.976326	0.437186	207.199	6.89053	3	8.07569	9.73343	1.62662	11.7948	90.4584	880.47	21922.1
LJP009_A375_24H_X1_B20:L02	1	power	1.88894	62.1034	4.87993	0.972089	7.57621	0.146821	1.86476	-1.45734	-0.51,0.80	0.26,3.47	-9.57,6.65	0.9773	0.971624	0.47863	172.208	6.57586	2	8.22181	9.73663	1.72054	13.06	99.272	966.574	23224.3
LJP009_A375_24H_X1_B20:L03	1	power	1.91436	62.4189	4.75044	0.96648	7.21732	0.0328619	2.42384	0.45106	-0.10,0.17	0.86,3.99	-4.34,5.24	0.9798	0.97475	0.4515	194.02	6.7786	3	7.84744	10.5203	1.78532	12.7328	70.6468	743.224	28888.8
LJP009_A375_24H_X1_B20:L04	1	power	1.84378	61.5262	4.96918	0.978079	8.04937	0.200466	1.74603	-1.7523	-0.58,0.98	0.36,3.13	-9.47,5.97	0.982134	0.977667	0.424616	219.888	6.99189	1	8.21567	10.3466	1.81872	12.8718	93.4214	966.595	19009
LJP009_A375_24H_X1_B20:L05	1	power	1.72014	59.8285	5.33834	0.976629	7.92395	0.747109	1.27063	-4.00093	-2.39,3.88	-0.13,2.67	-17.30,9.30	0.977282	0.971603	0.47881	172.076	6.57456	1	8.46992	9.64858	1.89509	15.797	108.924	1050.96	12874.9
LJP009_A375_24H_X1_B20:L06	1	power	1.65083	58.7944	5.38572	0.985014	8.79399	0.140933	1.83409	-0.328158	-0.24,0.52	0.86,2.81	-4.71,4.05	0.990333	0.987917	0.312333	409.8	8.05892	1	8.25264	8.35152	1.84594	17.1978	97.6548	815.566	11105.9
LJP009_A375_24H_X1_B20:L07	1	power	2.01429	63.5978	4.49128	0.984091	8.67695	2.58311	0.923733	-11.7002	-9.71,14.88	-0.52,2.36	-42.81,19.41	0.984124	0.980155	0.400268	247.955	7.19705	2	8.28331	10.271	1.66645	10.3317	88.4632	908.61	17887.4
LJP009_A375_24H_X1_B20:L08	1	power	1.95829	62.9489	4.81631	0.955236	6.64995	0.262113	1.67022	-2.90043	-1.31,1.83	-0.44,3.78	-16.70,10.90	0.958602	0.948252	0.646359	92.6223	5.53207	3	7.97949	9.48998	1.67495	9.89508	74.4012	706.066	15764.5
LJP009_A375_24H_X1_B20:L09	1	power	2.10737	64.6145	4.38181	0.955844	6.67678	0.11547	1.9904	-1.89842	-0.59,0.83	-0.24,4.22	-13.05,9.25	0.961823	0.952278	0.620706	100.774	5.67277	5	7.7659	11.405	1.70079	9.7453	61.6402	703.009	24627.6
LJP009_A375_24H_X1_B20:L10	1	power	1.88008	61.9918	4.98339	0.968884	7.3632	0.302558	1.60495	-2.88613	-1.17,1.78	-0.10,3.31	-14.47,8.70	0.971741	0.964676	0.534027	137.546	6.19535	1	8.03427	10.5698	1.82033	10.8106	77.6739	820.998	15547.9
LJP009_A375_24H_X1_B20:L11	1	power	1.99971	63.4316	4.62902	0.972223	7.58561	0.253118	1.6966	-2.6351	-0.96,1.46	-0.00,3.40	-13.34,8.07	0.97549	0.969363	0.497338	159.201	6.44265	5	8.0895	11.4596	1.76201	10.5553	82.2607	942.674	30494.4
